configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,phone power,workload,energy by workload
021113-1-2,[0- 2- 1- 1- 1- 3- 1- 0- 0- 2- 0- 0- 0],[0- 1363200- 576000- 576000- 576000- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[0- 2- 1- 1- 1- 3- 1- 2],[0- 1363200- 576000- 576000- 576000- 1804800- 652800- 1766400],82.6335756822963,2360.75601055871,1182760000000,6.9865E-11
100000-0-2,[1- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0- 0- 0],[576000- 0- 0- 0- 0- 0- 0- 0- 0- 1766400- 0- 0- 0],[1- 0- 0- 0- 0- 0- 0- 2],[576000- 0- 0- 0- 0- 0- 0- 1766400],50.7096930689716,1489.93256104484,510917000000,9.92523E-11
121232-2-3,[1- 2- 1- 2- 3- 2- 2- 0- 0- 3- 0- 0- 0],[576000- 1363200- 576000- 1363200- 1804800- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[1- 2- 1- 2- 3- 2- 2- 3],[576000- 1363200- 576000- 1363200- 1804800- 1363200- 1478400- 2400000],81.9077463484616,2344.15495135048,1296140000000,6.31936E-11
303132-0-2,[3- 0- 3- 1- 3- 2- 0- 0- 0- 2- 0- 0- 0],[1804800- 0- 1804800- 576000- 1804800- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[3- 0- 3- 1- 3- 2- 0- 2],[1804800- 0- 1804800- 576000- 1804800- 1363200- 0- 1766400],69.5925937545452,2025.437864081,983338000000,7.07718E-11
331303-2-1,[3- 3- 1- 3- 0- 3- 2- 0- 0- 1- 0- 0- 0],[1804800- 1804800- 576000- 1804800- 0- 1804800- 0- 0- 0- 806400- 0- 0- 0],[3- 3- 1- 3- 0- 3- 2- 1],[1804800- 1804800- 576000- 1804800- 0- 1804800- 1478400- 806400],74.9625159265616,2166.24340849203,1135690000000,6.60061E-11
303323-2-0,[3- 0- 3- 3- 2- 3- 2- 0- 0- 0- 0- 0- 0],[1804800- 0- 1804800- 1804800- 1363200- 1804800- 0- 0- 0- 0- 0- 0- 0],[3- 0- 3- 3- 2- 3- 2- 0],[1804800- 0- 1804800- 1804800- 1363200- 1804800- 1478400- 0],59.6329403677947,1732.10454448323,904021000000,6.59641E-11
210320-1-2,[2- 1- 0- 3- 2- 0- 1- 0- 0- 2- 0- 0- 0],[1363200- 576000- 0- 1804800- 1363200- 0- 0- 0- 0- 1766400- 0- 0- 0],[2- 1- 0- 3- 2- 0- 1- 2],[1363200- 576000- 0- 1804800- 1363200- 0- 652800- 1766400],64.768131410946,1886.11244657427,840461000000,7.70626E-11
122220-2-3,[1- 2- 2- 2- 2- 0- 2- 0- 0- 3- 0- 0- 0],[576000- 1363200- 1363200- 1363200- 1363200- 0- 0- 0- 0- 2400000- 0- 0- 0],[1- 2- 2- 2- 2- 0- 2- 3],[576000- 1363200- 1363200- 1363200- 1363200- 0- 1478400- 2400000],79.5738884766809,2279.01909909133,1118250000000,7.11593E-11
231021-3-3,[2- 3- 1- 0- 2- 1- 3- 0- 0- 3- 0- 0- 0],[1363200- 1804800- 576000- 0- 1363200- 576000- 0- 0- 0- 2400000- 0- 0- 0],[2- 3- 1- 0- 2- 1- 3- 3],[1363200- 1804800- 576000- 0- 1363200- 576000- 2208000- 2400000],77.6473695933206,2229.09359288995,1111960000000,6.98293E-11
310302-1-2,[3- 1- 0- 3- 0- 2- 1- 0- 0- 2- 0- 0- 0],[1804800- 576000- 0- 1804800- 0- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[3- 1- 0- 3- 0- 2- 1- 2],[1804800- 576000- 0- 1804800- 0- 1363200- 652800- 1766400],75.6785562491319,2184.85849450219,1068880000000,7.08017E-11
331220-0-1,[3- 3- 1- 2- 2- 0- 0- 0- 0- 1- 0- 0- 0],[1804800- 1804800- 576000- 1363200- 1363200- 0- 0- 0- 0- 806400- 0- 0- 0],[3- 3- 1- 2- 2- 0- 0- 1],[1804800- 1804800- 576000- 1363200- 1363200- 0- 0- 806400],36.9581904467489,1104.71471486871,433988000000,8.51595E-11
312321-1-0,[3- 1- 2- 3- 2- 1- 1- 0- 0- 0- 0- 0- 0],[1804800- 576000- 1363200- 1804800- 1363200- 576000- 0- 0- 0- 0- 0- 0- 0],[3- 1- 2- 3- 2- 1- 1- 0],[1804800- 576000- 1363200- 1804800- 1363200- 576000- 652800- 0],34.5550819751672,1050.42967499237,429951000000,8.03698E-11
023300-2-1,[0- 2- 3- 3- 0- 0- 2- 0- 0- 1- 0- 0- 0],[0- 1363200- 1804800- 1804800- 0- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 2- 3- 3- 0- 0- 2- 1],[0- 1363200- 1804800- 1804800- 0- 0- 1478400- 806400],55.1474477747145,1626.33930390567,755228000000,7.30209E-11
331312-0-2,[3- 3- 1- 3- 1- 2- 0- 0- 0- 2- 0- 0- 0],[1804800- 1804800- 576000- 1804800- 576000- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[3- 3- 1- 3- 1- 2- 0- 2],[1804800- 1804800- 576000- 1804800- 576000- 1363200- 0- 1766400],72.3253528074643,2088.15508296704,1092930000000,6.61756E-11
130333-0-0,[1- 3- 0- 3- 3- 3- 0- 0- 0- 0- 0- 0- 0],[576000- 1804800- 0- 1804800- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0],[1- 3- 0- 3- 3- 3- 0- 0],[576000- 1804800- 0- 1804800- 1804800- 1804800- 0- 0],57.5070787061249,1691.37314035169,659131000000,8.72468E-11
310330-3-0,[3- 1- 0- 3- 3- 0- 3- 0- 0- 0- 0- 0- 0],[1804800- 576000- 0- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0],[3- 1- 0- 3- 3- 0- 3- 0],[1804800- 576000- 0- 1804800- 1804800- 0- 2208000- 0],51.7596710203295,1536.76814563853,647698000000,7.99133E-11
203110-1-0,[2- 0- 3- 1- 1- 0- 1- 0- 0- 0- 0- 0- 0],[1363200- 0- 1804800- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[2- 0- 3- 1- 1- 0- 1- 0],[1363200- 0- 1804800- 576000- 576000- 0- 652800- 0],31.3934447994613,958.812485398494,341309000000,9.19795E-11
002102-3-1,[0- 0- 2- 1- 0- 2- 3- 0- 0- 1- 0- 0- 0],[0- 0- 1363200- 576000- 0- 1363200- 0- 0- 0- 806400- 0- 0- 0],[0- 0- 2- 1- 0- 2- 3- 1],[0- 0- 1363200- 576000- 0- 1363200- 2208000- 806400],76.0798450282377,2213.36217229475,1015320000000,7.49319E-11
210032-2-1,[2- 1- 0- 0- 3- 2- 2- 0- 0- 1- 0- 0- 0],[1363200- 576000- 0- 0- 1804800- 1363200- 0- 0- 0- 806400- 0- 0- 0],[2- 1- 0- 0- 3- 2- 2- 1],[1363200- 576000- 0- 0- 1804800- 1363200- 1478400- 806400],67.2323504939425,1961.74043516125,1025160000000,6.55823E-11
201120-0-2,[2- 0- 1- 1- 2- 0- 0- 0- 0- 2- 0- 0- 0],[1363200- 0- 576000- 576000- 1363200- 0- 0- 0- 0- 1766400- 0- 0- 0],[2- 0- 1- 1- 2- 0- 0- 2],[1363200- 0- 576000- 576000- 1363200- 0- 0- 1766400],54.4639625494408,1595.56845470602,659458000000,8.2589E-11
233220-2-3,[2- 3- 3- 2- 2- 0- 2- 0- 0- 3- 0- 0- 0],[1363200- 1804800- 1804800- 1363200- 1363200- 0- 0- 0- 0- 2400000- 0- 0- 0],[2- 3- 3- 2- 2- 0- 2- 3],[1363200- 1804800- 1804800- 1363200- 1363200- 0- 1478400- 2400000],83.7034659994173,2395.2012575701,1150120000000,7.2778E-11
231002-0-2,[2- 3- 1- 0- 0- 2- 0- 0- 0- 2- 0- 0- 0],[1363200- 1804800- 576000- 0- 0- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 3- 1- 0- 0- 2- 0- 2],[1363200- 1804800- 576000- 0- 0- 1363200- 0- 1766400],65.1406964237598,1890.11845638514,887229000000,7.34204E-11
030330-3-0,[0- 3- 0- 3- 3- 0- 3- 0- 0- 0- 0- 0- 0],[0- 1804800- 0- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0],[0- 3- 0- 3- 3- 0- 3- 0],[0- 1804800- 0- 1804800- 1804800- 0- 2208000- 0],50.8317348445158,1493.90192542791,596880000000,8.51624E-11
133012-3-3,[1- 3- 3- 0- 1- 2- 3- 0- 0- 3- 0- 0- 0],[576000- 1804800- 1804800- 0- 576000- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[1- 3- 3- 0- 1- 2- 3- 3],[576000- 1804800- 1804800- 0- 576000- 1363200- 2208000- 2400000],95.6220428328611,2705.469220067,1401550000000,6.82259E-11
321323-0-1,[3- 2- 1- 3- 2- 3- 0- 0- 0- 1- 0- 0- 0],[1804800- 1363200- 576000- 1804800- 1363200- 1804800- 0- 0- 0- 806400- 0- 0- 0],[3- 2- 1- 3- 2- 3- 0- 1],[1804800- 1363200- 576000- 1804800- 1363200- 1804800- 0- 806400],62.5618690617415,1824.05256420031,907657000000,6.89268E-11
203332-2-2,[2- 0- 3- 3- 3- 2- 2- 0- 0- 2- 0- 0- 0],[1363200- 0- 1804800- 1804800- 1804800- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 0- 3- 3- 3- 2- 2- 2],[1363200- 0- 1804800- 1804800- 1804800- 1363200- 1478400- 1766400],91.4259968153942,2597.60556727538,1406680000000,6.49942E-11
020230-3-3,[0- 2- 0- 2- 3- 0- 3- 0- 0- 3- 0- 0- 0],[0- 1363200- 0- 1363200- 1804800- 0- 0- 0- 0- 2400000- 0- 0- 0],[0- 2- 0- 2- 3- 0- 3- 3],[0- 1363200- 0- 1363200- 1804800- 0- 2208000- 2400000],75.2120882234259,2174.51505890649,979660000000,7.67737E-11
123032-0-0,[1- 2- 3- 0- 3- 2- 0- 0- 0- 0- 0- 0- 0],[576000- 1363200- 1804800- 0- 1804800- 1363200- 0- 0- 0- 0- 0- 0- 0],[1- 2- 3- 0- 3- 2- 0- 0],[576000- 1363200- 1804800- 0- 1804800- 1363200- 0- 0],39.9085203282099,1189.67688769923,490700000000,8.13298E-11
112000-1-1,[1- 1- 2- 0- 0- 0- 1- 0- 0- 1- 0- 0- 0],[576000- 576000- 1363200- 0- 0- 0- 0- 0- 0- 806400- 0- 0- 0],[1- 1- 2- 0- 0- 0- 1- 1],[576000- 576000- 1363200- 0- 0- 0- 652800- 806400],37.8409560260374,1143.71525504781,513470000000,7.36965E-11
233223-1-3,[2- 3- 3- 2- 2- 3- 1- 0- 0- 3- 0- 0- 0],[1363200- 1804800- 1804800- 1363200- 1363200- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[2- 3- 3- 2- 2- 3- 1- 3],[1363200- 1804800- 1804800- 1363200- 1363200- 1804800- 652800- 2400000],97.3671383278909,2744.37057995681,1365030000000,7.13297E-11
201011-3-1,[2- 0- 1- 0- 1- 1- 3- 0- 0- 1- 0- 0- 0],[1363200- 0- 576000- 0- 576000- 576000- 0- 0- 0- 806400- 0- 0- 0],[2- 0- 1- 0- 1- 1- 3- 1],[1363200- 0- 576000- 0- 576000- 576000- 2208000- 806400],67.8209046191028,1972.82179667341,875436000000,7.7471E-11
023023-2-2,[0- 2- 3- 0- 2- 3- 2- 0- 0- 2- 0- 0- 0],[0- 1363200- 1804800- 0- 1363200- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[0- 2- 3- 0- 2- 3- 2- 2],[0- 1363200- 1804800- 0- 1363200- 1804800- 1478400- 1766400],94.0135655715655,2669.4366634626,1350220000000,6.96283E-11
110203-3-1,[1- 1- 0- 2- 0- 3- 3- 0- 0- 1- 0- 0- 0],[576000- 576000- 0- 1363200- 0- 1804800- 0- 0- 0- 806400- 0- 0- 0],[1- 1- 0- 2- 0- 3- 3- 1],[576000- 576000- 0- 1363200- 0- 1804800- 2208000- 806400],74.9403190398345,2164.65930622075,1087320000000,6.8922E-11
123013-0-2,[1- 2- 3- 0- 1- 3- 0- 0- 0- 2- 0- 0- 0],[576000- 1363200- 1804800- 0- 576000- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[1- 2- 3- 0- 1- 3- 0- 2],[576000- 1363200- 1804800- 0- 576000- 1804800- 0- 1766400],79.8767027494463,2271.85489367355,1075840000000,7.42459E-11
030013-2-3,[0- 3- 0- 0- 1- 3- 2- 0- 0- 3- 0- 0- 0],[0- 1804800- 0- 0- 576000- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[0- 3- 0- 0- 1- 3- 2- 3],[0- 1804800- 0- 0- 576000- 1804800- 1478400- 2400000],89.776899533513,2560.24579498843,1243600000000,7.21911E-11
211233-3-3,[2- 1- 1- 2- 3- 3- 3- 0- 0- 3- 0- 0- 0],[1363200- 576000- 576000- 1363200- 1804800- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[2- 1- 1- 2- 3- 3- 3- 3],[1363200- 576000- 576000- 1363200- 1804800- 1804800- 2208000- 2400000],99.8453916327805,2809.63237033538,1531480000000,6.51954E-11
312133-1-0,[3- 1- 2- 1- 3- 3- 1- 0- 0- 0- 0- 0- 0],[1804800- 576000- 1363200- 576000- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0],[3- 1- 2- 1- 3- 3- 1- 0],[1804800- 576000- 1363200- 576000- 1804800- 1804800- 652800- 0],71.0356581632197,2054.13542328703,975387000000,7.28282E-11
103011-3-0,[1- 0- 3- 0- 1- 1- 3- 0- 0- 0- 0- 0- 0],[576000- 0- 1804800- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 0- 3- 0- 1- 1- 3- 0],[576000- 0- 1804800- 0- 576000- 576000- 2208000- 0],57.5176175818552,1676.45729857417,677999000000,8.48344E-11
331013-1-1,[3- 3- 1- 0- 1- 3- 1- 0- 0- 1- 0- 0- 0],[1804800- 1804800- 576000- 0- 576000- 1804800- 0- 0- 0- 806400- 0- 0- 0],[3- 3- 1- 0- 1- 3- 1- 1],[1804800- 1804800- 576000- 0- 576000- 1804800- 652800- 806400],72.6506326213233,2104.20806449202,1069900000000,6.79041E-11
232202-1-2,[2- 3- 2- 2- 0- 2- 1- 0- 0- 2- 0- 0- 0],[1363200- 1804800- 1363200- 1363200- 0- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 3- 2- 2- 0- 2- 1- 2],[1363200- 1804800- 1363200- 1363200- 0- 1363200- 652800- 1766400],78.5356318543746,2257.44999428932,1172800000000,6.69642E-11
122020-2-1,[1- 2- 2- 0- 2- 0- 2- 0- 0- 1- 0- 0- 0],[576000- 1363200- 1363200- 0- 1363200- 0- 0- 0- 0- 806400- 0- 0- 0],[1- 2- 2- 0- 2- 0- 2- 1],[576000- 1363200- 1363200- 0- 1363200- 0- 1478400- 806400],56.5693073110482,1671.00786549145,806364000000,7.01536E-11
002101-2-2,[0- 0- 2- 1- 0- 1- 2- 0- 0- 2- 0- 0- 0],[0- 0- 1363200- 576000- 0- 576000- 0- 0- 0- 1766400- 0- 0- 0],[0- 0- 2- 1- 0- 1- 2- 2],[0- 0- 1363200- 576000- 0- 576000- 1478400- 1766400],73.251940060295,2114.06166031722,1024450000000,7.15037E-11
222311-2-1,[2- 2- 2- 3- 1- 1- 2- 0- 0- 1- 0- 0- 0],[1363200- 1363200- 1363200- 1804800- 576000- 576000- 0- 0- 0- 806400- 0- 0- 0],[2- 2- 2- 3- 1- 1- 2- 1],[1363200- 1363200- 1363200- 1804800- 576000- 576000- 1478400- 806400],58.7321270588738,1698.79681728492,887255000000,6.61953E-11
122222-1-1,[1- 2- 2- 2- 2- 2- 1- 0- 0- 1- 0- 0- 0],[576000- 1363200- 1363200- 1363200- 1363200- 1363200- 0- 0- 0- 806400- 0- 0- 0],[1- 2- 2- 2- 2- 2- 1- 1],[576000- 1363200- 1363200- 1363200- 1363200- 1363200- 652800- 806400],55.7442277111113,1628.13950567142,982802000000,5.67197E-11
302310-0-3,[3- 0- 2- 3- 1- 0- 0- 0- 0- 3- 0- 0- 0],[1804800- 0- 1363200- 1804800- 576000- 0- 0- 0- 0- 2400000- 0- 0- 0],[3- 0- 2- 3- 1- 0- 0- 3],[1804800- 0- 1363200- 1804800- 576000- 0- 0- 2400000],73.6624240556838,2147.3759794993,778591000000,9.46099E-11
100023-2-1,[1- 0- 0- 0- 2- 3- 2- 0- 0- 1- 0- 0- 0],[576000- 0- 0- 0- 1363200- 1804800- 0- 0- 0- 806400- 0- 0- 0],[1- 0- 0- 0- 2- 3- 2- 1],[576000- 0- 0- 0- 1363200- 1804800- 1478400- 806400],75.6622282738419,2187.16362546056,1020690000000,7.41285E-11
223101-2-3,[2- 2- 3- 1- 0- 1- 2- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 1804800- 576000- 0- 576000- 0- 0- 0- 2400000- 0- 0- 0],[2- 2- 3- 1- 0- 1- 2- 3],[1363200- 1363200- 1804800- 576000- 0- 576000- 1478400- 2400000],93.4131245697236,2644.5999677679,1190120000000,7.84905E-11
102113-3-1,[1- 0- 2- 1- 1- 3- 3- 0- 0- 1- 0- 0- 0],[576000- 0- 1363200- 576000- 576000- 1804800- 0- 0- 0- 806400- 0- 0- 0],[1- 0- 2- 1- 1- 3- 3- 1],[576000- 0- 1363200- 576000- 576000- 1804800- 2208000- 806400],86.641218027865,2474.78413671184,1231560000000,7.03508E-11
210110-3-1,[2- 1- 0- 1- 1- 0- 3- 0- 0- 1- 0- 0- 0],[1363200- 576000- 0- 576000- 576000- 0- 0- 0- 0- 806400- 0- 0- 0],[2- 1- 0- 1- 1- 0- 3- 1],[1363200- 576000- 0- 576000- 576000- 0- 2208000- 806400],69.8226407220911,2034.82765363686,879587000000,7.93812E-11
133120-3-1,[1- 3- 3- 1- 2- 0- 3- 0- 0- 1- 0- 0- 0],[576000- 1804800- 1804800- 576000- 1363200- 0- 0- 0- 0- 806400- 0- 0- 0],[1- 3- 3- 1- 2- 0- 3- 1],[576000- 1804800- 1804800- 576000- 1363200- 0- 2208000- 806400],72.5120663430038,2108.67013761083,946532000000,7.66082E-11
220110-2-0,[2- 2- 0- 1- 1- 0- 2- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[2- 2- 0- 1- 1- 0- 2- 0],[1363200- 1363200- 0- 576000- 576000- 0- 1478400- 0],42.6214864172658,1285.32355317926,576130000000,7.39789E-11
000022-2-2,[0- 0- 0- 0- 2- 2- 2- 0- 0- 2- 0- 0- 0],[0- 0- 0- 0- 1363200- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[0- 0- 0- 0- 2- 2- 2- 2],[0- 0- 0- 0- 1363200- 1363200- 1478400- 1766400],76.4971891147909,2215.38655995498,1092470000000,7.00222E-11
331011-1-0,[3- 3- 1- 0- 1- 1- 1- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 576000- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[3- 3- 1- 0- 1- 1- 1- 0],[1804800- 1804800- 576000- 0- 576000- 576000- 652800- 0],33.4260041380091,1005.8580069447,385489000000,8.67107E-11
313120-1-0,[3- 1- 3- 1- 2- 0- 1- 0- 0- 0- 0- 0- 0],[1804800- 576000- 1804800- 576000- 1363200- 0- 0- 0- 0- 0- 0- 0- 0],[3- 1- 3- 1- 2- 0- 1- 0],[1804800- 576000- 1804800- 576000- 1363200- 0- 652800- 0],32.0011057465816,963.491545911804,385750000000,8.29581E-11
033323-1-0,[0- 3- 3- 3- 2- 3- 1- 0- 0- 0- 0- 0- 0],[0- 1804800- 1804800- 1804800- 1363200- 1804800- 0- 0- 0- 0- 0- 0- 0],[0- 3- 3- 3- 2- 3- 1- 0],[0- 1804800- 1804800- 1804800- 1363200- 1804800- 652800- 0],62.5543914533039,1833.75082428562,839388000000,7.45238E-11
203132-1-0,[2- 0- 3- 1- 3- 2- 1- 0- 0- 0- 0- 0- 0],[1363200- 0- 1804800- 576000- 1804800- 1363200- 0- 0- 0- 0- 0- 0- 0],[2- 0- 3- 1- 3- 2- 1- 0],[1363200- 0- 1804800- 576000- 1804800- 1363200- 652800- 0],44.0672441700072,1321.8612944609,668521000000,6.59175E-11
011221-2-1,[0- 1- 1- 2- 2- 1- 2- 0- 0- 1- 0- 0- 0],[0- 576000- 576000- 1363200- 1363200- 576000- 0- 0- 0- 806400- 0- 0- 0],[0- 1- 1- 2- 2- 1- 2- 1],[0- 576000- 576000- 1363200- 1363200- 576000- 1478400- 806400],54.9134481539672,1617.61572019261,819865000000,6.69786E-11
310331-2-0,[3- 1- 0- 3- 3- 1- 2- 0- 0- 0- 0- 0- 0],[1804800- 576000- 0- 1804800- 1804800- 576000- 0- 0- 0- 0- 0- 0- 0],[3- 1- 0- 3- 3- 1- 2- 0],[1804800- 576000- 0- 1804800- 1804800- 576000- 1478400- 0],44.3851855395692,1323.94006135988,621300000000,7.14392E-11
213313-3-2,[2- 1- 3- 3- 1- 3- 3- 0- 0- 2- 0- 0- 0],[1363200- 576000- 1804800- 1804800- 576000- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[2- 1- 3- 3- 1- 3- 3- 2],[1363200- 576000- 1804800- 1804800- 576000- 1804800- 2208000- 1766400],112.252246650916,3114.47717676695,1644520000000,6.82584E-11
331213-0-3,[3- 3- 1- 2- 1- 3- 0- 0- 0- 3- 0- 0- 0],[1804800- 1804800- 576000- 1363200- 576000- 1804800- 0- 0- 0- 2400000- 0- 0- 0],[3- 3- 1- 2- 1- 3- 0- 3],[1804800- 1804800- 576000- 1363200- 576000- 1804800- 0- 2400000],89.0597439439495,2528.0126146004,1209910000000,7.36086E-11
130100-1-3,[1- 3- 0- 1- 0- 0- 1- 0- 0- 3- 0- 0- 0],[576000- 1804800- 0- 576000- 0- 0- 0- 0- 0- 2400000- 0- 0- 0],[1- 3- 0- 1- 0- 0- 1- 3],[576000- 1804800- 0- 576000- 0- 0- 652800- 2400000],77.6226342959476,2245.57120948842,870626000000,8.91573E-11
120131-2-0,[1- 2- 0- 1- 3- 1- 2- 0- 0- 0- 0- 0- 0],[576000- 1363200- 0- 576000- 1804800- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 2- 0- 1- 3- 1- 2- 0],[576000- 1363200- 0- 576000- 1804800- 576000- 1478400- 0],45.342545639677,1346.25144155264,622642000000,7.28228E-11
022011-1-0,[0- 2- 2- 0- 1- 1- 1- 0- 0- 0- 0- 0- 0],[0- 1363200- 1363200- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[0- 2- 2- 0- 1- 1- 1- 0],[0- 1363200- 1363200- 0- 576000- 576000- 652800- 0],31.3418994560934,936.950973087085,341243000000,9.18463E-11
100221-3-1,[1- 0- 0- 2- 2- 1- 3- 0- 0- 1- 0- 0- 0],[576000- 0- 0- 1363200- 1363200- 576000- 0- 0- 0- 806400- 0- 0- 0],[1- 0- 0- 2- 2- 1- 3- 1],[576000- 0- 0- 1363200- 1363200- 576000- 2208000- 806400],80.0526614822044,2308.23710094083,929019000000,8.6169E-11
020100-0-0,[0- 2- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 1363200- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 2- 0- 1- 0- 0- 0- 0],[0- 1363200- 0- 576000- 0- 0- 0- 0],23.5175293800191,721.862597545539,77422300000,3.03757E-10
312302-3-0,[3- 1- 2- 3- 0- 2- 3- 0- 0- 0- 0- 0- 0],[1804800- 576000- 1363200- 1804800- 0- 1363200- 0- 0- 0- 0- 0- 0- 0],[3- 1- 2- 3- 0- 2- 3- 0],[1804800- 576000- 1363200- 1804800- 0- 1363200- 2208000- 0],76.6951102201836,2208.61867204852,1047870000000,7.31914E-11
323322-3-0,[3- 2- 3- 3- 2- 2- 3- 0- 0- 0- 0- 0- 0],[1804800- 1363200- 1804800- 1804800- 1363200- 1363200- 0- 0- 0- 0- 0- 0- 0],[3- 2- 3- 3- 2- 2- 3- 0],[1804800- 1363200- 1804800- 1804800- 1363200- 1363200- 2208000- 0],71.5079965571832,2086.15882477151,1103560000000,6.47976E-11
220023-2-1,[2- 2- 0- 0- 2- 3- 2- 0- 0- 1- 0- 0- 0],[1363200- 1363200- 0- 0- 1363200- 1804800- 0- 0- 0- 806400- 0- 0- 0],[2- 2- 0- 0- 2- 3- 2- 1],[1363200- 1363200- 0- 0- 1363200- 1804800- 1478400- 806400],84.777250997072,2431.20599679527,1167130000000,7.26374E-11
203300-2-2,[2- 0- 3- 3- 0- 0- 2- 0- 0- 2- 0- 0- 0],[1363200- 0- 1804800- 1804800- 0- 0- 0- 0- 0- 1766400- 0- 0- 0],[2- 0- 3- 3- 0- 0- 2- 2],[1363200- 0- 1804800- 1804800- 0- 0- 1478400- 1766400],72.5489714103032,2093.64289518736,1013330000000,7.15946E-11
322032-2-0,[3- 2- 2- 0- 3- 2- 2- 0- 0- 0- 0- 0- 0],[1804800- 1363200- 1363200- 0- 1804800- 1363200- 0- 0- 0- 0- 0- 0- 0],[3- 2- 2- 0- 3- 2- 2- 0],[1804800- 1363200- 1363200- 0- 1804800- 1363200- 1478400- 0],58.262720853322,1699.8367445321,904706000000,6.43996E-11
220322-3-2,[2- 2- 0- 3- 2- 2- 3- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 0- 1804800- 1363200- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 2- 0- 3- 2- 2- 3- 2],[1363200- 1363200- 0- 1804800- 1363200- 1363200- 2208000- 1766400],98.0625210176743,2763.71855167368,1450630000000,6.76E-11
000111-3-0,[0- 0- 0- 1- 1- 1- 3- 0- 0- 0- 0- 0- 0],[0- 0- 0- 576000- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 1- 1- 1- 3- 0],[0- 0- 0- 576000- 576000- 576000- 2208000- 0],49.4404352153497,1461.27237567664,595040000000,8.30876E-11
312001-2-2,[3- 1- 2- 0- 0- 1- 2- 0- 0- 2- 0- 0- 0],[1804800- 576000- 1363200- 0- 0- 576000- 0- 0- 0- 1766400- 0- 0- 0],[3- 1- 2- 0- 0- 1- 2- 2],[1804800- 576000- 1363200- 0- 0- 576000- 1478400- 1766400],74.8645087621987,2151.39161574162,1075050000000,6.96382E-11
010120-2-1,[0- 1- 0- 1- 2- 0- 2- 0- 0- 1- 0- 0- 0],[0- 576000- 0- 576000- 1363200- 0- 0- 0- 0- 806400- 0- 0- 0],[0- 1- 0- 1- 2- 0- 2- 1],[0- 576000- 0- 576000- 1363200- 0- 1478400- 806400],55.3938120911074,1629.50810378061,747522000000,7.41033E-11
331232-0-0,[3- 3- 1- 2- 3- 2- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 576000- 1363200- 1804800- 1363200- 0- 0- 0- 0- 0- 0- 0],[3- 3- 1- 2- 3- 2- 0- 0],[1804800- 1804800- 576000- 1363200- 1804800- 1363200- 0- 0],41.4528641815209,1242.26425895776,591275000000,7.01076E-11
300313-3-2,[3- 0- 0- 3- 1- 3- 3- 0- 0- 2- 0- 0- 0],[1804800- 0- 0- 1804800- 576000- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[3- 0- 0- 3- 1- 3- 3- 2],[1804800- 0- 0- 1804800- 576000- 1804800- 2208000- 1766400],100.311184339352,2831.19713307578,1386980000000,7.23235E-11
212212-0-3,[2- 1- 2- 2- 1- 2- 0- 0- 0- 3- 0- 0- 0],[1363200- 576000- 1363200- 1363200- 576000- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 1- 2- 2- 1- 2- 0- 3],[1363200- 576000- 1363200- 1363200- 576000- 1363200- 0- 2400000],77.6487009668172,2228.22857493385,1127120000000,6.88912E-11
